Type,NO,Living,Working,Commerce,Healthcare,Education,Entertainment,servicios,micro servicios?,transporte,fe?
emergency_phone,,,,,,,,x,,,
events_centre,,,x,,,,x,,,,
events_venue,,,x,,,,x,,,,
ev_charging,,,,,,,,x,,,
exhibition_centre,,,x,,,,x,,,,
festival_grounds,,,x,,,,x,,,,
financial_advice,,,x,,,,,,,,
fire_hydrant,x,,,,,,,,,,
first_aid_school,,,x,,,x,,,,,
fish_cleaning,,,x,,,,,,,,
fish_spa,,,x,,x,,x,,,,
food_sharing,,x,x,,,,,,,,
foot_shower,,,,,,,,,x,,
fountain,,,,,,,x,,,,
freeshop,,,x,x,,,,,,,
fridge,,,,,,,,,x,,
fuel,,,,x,,,,,,,
funeral_hall,,,x,,,,,,,,x
garages,,x,,,,,,,,,
give_box,,,,,,,,,x,,
grit_bin,x,,,,,,,,,,
gym,,,x,,x,,x,,,,
harbourmaster,x,,,,,,,,,,
hitching_post,,,,,,,,,x,,
hospice,,,x,,x,,,,,,
hospital,,,x,,x,,,,,,
hotel,,x,x,,,,x,,,,
hunting_stand,,,,,,,x,,,,
hydrant,x,,,,,,,,,,
ice_cream,,,,x,,,,,,,
internet_cafe,,,,x,,,x,,,,
jobcentre,,,x,,,,,,,,
juice_bar,,,x,,,,x,,,,
kick-scooter_rental,,,,,,,,,,x,
kiosk,,,x,x,,,,,,,
kitchen,,,,,,,,x,,,
Kneippbecken,,,,,,,x,,,,
kneipp_water_cure,,,,,,,x,,,,
lavoir,,,x,,,,,,,,
left_luggage,,,x,,,,,,,,
letter_box,,,,,,,,,x,,
library,,,x,,,x,x,,,,
library_dropoff,,,,,,,,,x,,
lifeboat_station,,,x,,,,,,,,
life_ring,x,,,,,,,,,,
loading_dock,,,,,,,,,x,,
locker,x,,,,,,,,,,
lost_property_office,,,x,,,,,,,,
lounge,,,x,,,,,,,,
lounger,,,,,,,,,x,,
luggage_locker,,,,,,,,,x,,
mailroom,,,x,,,,,,,,
marae,,,,,,,x,,,,
meditation_centre,,,x,,x,,x,,,,
microwave,x,,,,,,,,,,
milk_dispenser,,,,x,,,,,,,
mobile_library,,,x,,,x,x,,,,
mobile_money_agent,,,x,,,,,,,,
mobility_scooter_rental,,,x,x,,,,,,,
mortuary,,,x,x,,,,,,,
motorcycle_rental,,,x,x,,,,,,,
motorcycle_taxi,,,x,x,,,,,,,
mtb_school,,,x,,,x,,,,,
music_venue,,,x,,,,x,,,,
nursery,,,x,,x,,,,,,
nursing_home,,x,x,,x,,,,,,
office,,,x,,,,,,,,
outfitter,,,x,x,,,,,,,
parcel_locker,,,,,,,,,x,,
park,,,,,,,x,,,,
piano,,,,,,,,,x,,
place_of_mourning,,,,,,,,x,,,x
place_of_worship,,,,,,,x,,,,
planetarium,,,,,,x,x,,,,
police,,,x,,,,,,,,
polling_station,,,,,,,,x,,,
post_box,,,,,,,,,x,,
post_depot,,,x,,,,,,,,
post_office,,,x,,,,,,,,
preschool,,,x,,,x,,,,,
printer,,,x,x,,,,,,,
prison,,,x,,,,,,,,
prison_camp,,,x,,,,,,,,
proposed,x,,,,,,,,,,
public_bookcase,,,,,,,,,x,,
public_building,x,,,,,,,,,,
ranger_station,,,x,,,,,,,,
reception_desk,x,,,,,,,,,,
refugee_housing,,x,,,,,,,,,
refugee_site,,x,x,,,,,,,,
register_office,,,x,,,,,,,,
rehearsal_studio,,,x,,,,x,,,,
relay_box,,,,,,,,,x,,
rescue_station,,,x,,,,,,,,
research_institute,,,x,,,,,,,,
retirement_home,,x,x,,,,,,,,
rv_storage,,,,,,,,x,,,
sanatorium,,x,x,,x,,,,,,
sauna,,,,,,,x,,,,
scooter_rental,,,x,,,,,,,,
seat,x,,,,,,,,,,
security_booth,,,x,,,,,,,,
shelf,,,,,,,,,x,,
shelter,,x,,,,,,,,,
shoe_shine,,,,,,,,,x,,
shop,,,,x,,,x,,,,
shower,,,,,,,,x,,,
ski_rental,,,x,x,,,,,,,
ski_school,,,x,,,x,x,,,,
smoking_area,x,,,,,,,,,,
snow_removal_station,,,x,,,,,,,,
